theta,item,info,a,b,c
-4.75,IRPM.233,1.3907826968270005e-7,2.18195,-0.5105,0.24
-4.75,IRPM.26,1.2847442175875386e-7,2.09185,-0.3291,0.24
-4.75,IRPM.424,1.2635089949349992e-7,2.0825,-0.3074,0.24
-4.75,IRPM.346,1.295495226063915e-7,2.14234,-0.4241,0.24
-4.75,IRPM.82,1.401354011717884e-7,2.36657,-0.8085,0.24
-4.75,IRPM.476,1.2323832894840472e-7,2.11871,-0.3693,0.24
-4.75,IRPM.245,1.2748296159405006e-7,2.18739,-0.5,0.24
-4.75,IRPM.284,9.471262280594582e-8,1.66498,0.7588,0.24
-4.75,IRPM.169,1.2248069280886815e-7,2.18909,-0.4938,0.24
-4.75,IRPM.446,1.2105193981930083e-7,2.18076,-0.4766,0.24
-4.75,IRPM.470,1.2004231097432725e-7,2.27749,-0.6372,0.24
-4.75,IRPM.25,1.0696084353355975e-7,2.21221,-0.5029,0.24
-4.75,IRPM.414,9.410910686379446e-8,2.06516,-0.2028,0.24
-4.75,IRPM.494,8.417340334992793e-8,1.9482,0.0689,0.24
-4.75,IRPM.485,9.650218672770952e-8,2.23873,-0.5249,0.24
-4.75,IRPM.128,8.927021957003045e-8,2.11548,-0.2871,0.24
-4.75,IRPM.86,8.168233178842793e-8,1.95024,0.0721,0.24
-4.75,IRPM.265,8.440177604157636e-8,2.05649,-0.1592,0.24
-4.75,IRPM.255,7.268987742993284e-8,1.84229,0.3554,0.24
-4.75,IRPM.308,7.233927428637204e-8,1.89771,0.2232,0.24
-4.75,IRPM.182,8.400492513401465e-8,2.21153,-0.4471,0.24
-4.75,IRPM.342,7.124202055669225e-8,2.02878,-0.0614,0.24
-4.75,IRPM.254,6.514996213274628e-8,1.92083,0.1969,0.24
-4.75,IRPM.126,6.876010469565788e-8,2.0332,-0.0618,0.24
-4.75,IRPM.56,7.073043563175196e-8,2.22003,-0.4231,0.24
-4.75,IRPM.450,6.354292493438268e-8,2.08947,-0.1561,0.24
-4.75,IRPM.371,5.99957256766039e-8,1.97608,0.0938,0.24
-4.75,IRPM.303,7.035367386096009e-8,2.33206,-0.6087,0.24
-4.75,IRPM.353,5.5762231465046225e-8,2.05088,-0.0469,0.24
-4.75,IRPM.157,4.416634109639267e-8,2.03286,0.0478,0.24
-4.75,IRPM.386,4.873278958536244e-8,2.23006,-0.357,0.24
-4.75,IRPM.155,4.162042213011277e-8,2.00821,0.1154,0.24
-4.75,IRPM.324,4.594018566757789e-8,2.23737,-0.3567,0.24
-4.75,IRPM.218,3.8969388043539956e-8,1.95075,0.2607,0.24
-4.75,IRPM.41,4.504629483871235e-8,2.25488,-0.383,0.24
-4.75,IRPM.365,4.494063684522951e-8,2.29177,-0.4457,0.24
-4.75,IRPM.5,4.042638728678096e-8,2.26049,-0.3688,0.24
-4.75,IRPM.96,3.972186352708445e-8,2.2321,-0.3148,0.24
-4.75,IRPM.432,3.659176245788235e-8,2.38119,-0.5481,0.24
-4.75,IRPM.495,2.907893351568782e-8,2.15832,-0.1065,0.24
-4.75,IRPM.361,2.8284057040697033e-8,2.14914,-0.0822,0.24
-4.75,IRPM.188,2.7795906748237975e-8,2.22122,-0.2149,0.24
-4.75,IRPM.356,2.8131685352065495e-8,2.29687,-0.3523,0.24
-4.75,IRPM.160,2.3711187916079387e-8,2.06329,0.135,0.24
-4.75,IRPM.390,2.3871905185898486e-8,2.09627,0.0641,0.24
-4.75,IRPM.38,2.4000532565678424e-8,2.16512,-0.0753,0.24
-4.75,IRPM.184,2.229737311125895e-8,2.13656,-0.0018,0.24
-4.75,IRPM.178,2.0151870784711316e-8,2.13214,0.0308,0.24
-4.75,IRPM.229,2.480042397822504e-8,2.58128,-0.7672,0.24
-4.75,IRPM.301,1.728143482012823e-8,1.92729,0.5264,0.24
-4.75,IRPM.97,1.8728350744086194e-8,2.1097,0.094,0.24
-4.75,IRPM.104,1.6972287433384732e-8,2.00719,0.3411,0.24
-4.75,IRPM.272,2.149102952215047e-8,2.58774,-0.7485,0.24
-4.75,IRPM.373,2.11655997887184e-8,2.61698,-0.786,0.24
-4.75,IRPM.216,1.7121566443686965e-8,2.2134,-0.091,0.24
-4.75,IRPM.409,1.9387517169721914e-8,2.48234,-0.5746,0.24
-4.75,IRPM.291,1.8804814423199537e-8,2.47112,-0.5513,0.24
-4.75,IRPM.270,1.3983190690721508e-8,1.99223,0.4242,0.24
-4.75,IRPM.50,1.6196667634600872e-8,2.39479,-0.3994,0.24
-4.75,IRPM.149,1.4043964439642973e-8,2.13758,0.1043,0.24
-4.75,IRPM.112,1.5364769321903544e-8,2.45599,-0.4868,0.24
-4.75,IRPM.332,1.2075762821460919e-8,2.00073,0.441,0.24
-4.75,IRPM.385,1.3112907251442657e-8,2.27137,-0.1398,0.24
-4.75,IRPM.466,1.4724910339002147e-8,2.54932,-0.6199,0.24
-4.75,IRPM.135,1.3718541305910117e-8,2.41485,-0.3977,0.24
-4.75,IRPM.221,1.543018741822395e-8,2.65013,-0.7712,0.24
-4.75,IRPM.299,1.2239577025935141e-8,2.23907,-0.0643,0.24
-4.75,IRPM.367,1.3147071161748533e-8,2.42845,-0.411,0.24
-4.75,IRPM.277,9.78052989537053e-9,2.05768,0.3622,0.24
-4.75,IRPM.109,9.795080209222794e-9,2.17787,0.1058,0.24
-4.75,IRPM.294,1.0035936008516786e-8,2.22904,-0.0007,0.24
-4.75,IRPM.175,1.0125457205304841e-8,2.29296,-0.1227,0.24
-4.75,IRPM.252,1.2034613745997347e-8,2.66407,-0.7434,0.24
-4.75,IRPM.280,1.1535945324799074e-8,2.58264,-0.6209,0.24
-4.75,IRPM.387,9.998963470979082e-9,2.35892,-0.2374,0.24
-4.75,IRPM.220,9.153840386516121e-9,2.2253,0.0272,0.24
-4.75,IRPM.320,8.741500459209225e-9,2.15203,0.185,0.24
-4.75,IRPM.64,9.658839066572646e-9,2.48625,-0.4404,0.24
-4.75,IRPM.12,9.712304456768223e-9,2.72595,-0.7866,0.24
-4.75,IRPM.44,8.408652839079959e-9,2.44562,-0.3472,0.24
-4.75,IRPM.217,8.666401039387014e-9,2.52569,-0.48,0.24
